_id,Rank,Name,Rating,tagCount
65d0a2b567e0fa134945c904,171,Ascendance of a Bookworm: Part II,4.28,11
65d0a2b567e0fa134945c905,172,"Kamisama Kiss: Kamisama, Shiawase ni Naru",4.28,7
65d0a2b567e0fa134945c906,173,Quanzhi Gaoshou: Tebie Pian,4.28,7
65d0a2b567e0fa134945c907,174,Steins;Gate 0,4.28,7
65d0a2b567e0fa134945c908,175,Golden Kamuy Season 3,4.28,7
65d0a2b567e0fa134945c909,176,Weathering With You,4.27,5
65d0a2b567e0fa134945c90a,177,Semantic Error,4.27,7
65d0a2b567e0fa134945c90b,178,86: Eighty-Six - Part II,4.27,7
65d0a2b567e0fa134945c90c,179,Dou Po Cangqiong 4th Season,4.27,6
65d0a2b567e0fa134945c90d,180,School Babysitters,4.27,12
65d0a2b567e0fa134945c90e,181,Douluo Dalu,4.27,11
65d0a2b567e0fa134945c90f,182,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B),4.27,10
65d0a2b567e0fa134945c910,183,Major Season 5,4.27,5
65d0a2b567e0fa134945c911,184,Bungo Stray Dogs 2nd Season,4.27,12
65d0a2b567e0fa134945c912,185,Maquia: When the Promised Flower Blooms,4.27,6
65d0a2b567e0fa134945c913,186,Steins;Gate: Egoistic Poriomania,4.27,4
65d0a2b567e0fa134945c914,187,Mushishi,4.27,6
65d0a2b567e0fa134945c915,188,The Stranger by the Shore,4.27,13
65d0a2b567e0fa134945c916,189,One Piece Movie 10: Strong World,4.27,8
65d0a2b567e0fa134945c917,190,Food Wars! The Third Plate,4.27,11
65d0a2b567e0fa134945c918,191,Kuroko's Basketball: Last Game,4.26,4
65d0a2b567e0fa134945c919,192,Tengen Toppa Gurren Lagann,4.26,10
65d0a2b567e0fa134945c91a,193,Kamisama Kiss,4.26,12
65d0a2b567e0fa134945c91b,194,Moriarty the Patriot,4.26,9
65d0a2b567e0fa134945c91c,195,Kuroko's Basketball: The Greatest Present,4.26,4
65d0a2b567e0fa134945c91d,196,Kaguya-sama: Love Is War,4.26,11
65d0a2b567e0fa134945c91e,197,Food Wars! Shokugeki no Souma,4.26,11
65d0a2b567e0fa134945c91f,198,Mushoku Tensei: Jobless Reincarnation,4.26,18
65d0a2b567e0fa134945c920,199,Snow White with the Red Hair 2nd Season,4.26,11
65d0a2b567e0fa134945c921,200,JoJo's Bizarre Adventure: Stardust Crusaders,4.26,12
65d0a2b567e0fa134945c922,201,Natsume Yuujinchou: Itsuka Yuki no Hi ni,4.26,12
65d0a2b567e0fa134945c923,202,Detective Conan: Episode One - The Great Detective Turned Small,4.26,9
65d0a2b567e0fa134945c924,203,No Game No Life,4.26,12
65d0a2b567e0fa134945c925,204,Chihayafuru 2,4.25,9
65d0a2b567e0fa134945c926,205,Gintama: Yorinuki Gintama-san on Theater 2D,4.25,12
65d0a2b567e0fa134945c927,206,Legend of the Galactic Heroes,4.25,12
65d0a2b567e0fa134945c928,207,The Quintessential Quintuplets 2,4.25,9
65d0a2b567e0fa134945c929,208,Black Butler: Book of Murder,4.25,11
65d0a2b567e0fa134945c92a,209,Yuri!!! on Ice: Welcome to The Madness,4.25,3
65d0a2b567e0fa134945c92b,210,My Neighbor Totoro,4.25,10
65d0a2b567e0fa134945c92c,211,Food Wars! The Third Plate: Totsuki Train Arc,4.25,9
65d0a2b567e0fa134945c92d,212,Anohana: The Flower We Saw That Day,4.25,11
65d0a2b567e0fa134945c92e,213,Gintama: Aizome Kaori-hen,4.25,15
65d0a2b567e0fa134945c92f,214,Fate/stay night: Unlimited Blade Works 2,4.25,10
65d0a2b567e0fa134945c930,215,Fate/stay night: Heaven's Feel II. lost butterfly,4.25,18
65d0a2b567e0fa134945c931,216,Hunter x Hunter OVA 3: Greed Island Final,4.25,8
65d0a2b567e0fa134945c932,217,Kuroko's Basketball,4.25,6
65d0a2b567e0fa134945c933,218,Naruto Shippuden,4.25,8
65d0a2b567e0fa134945c934,219,Maid-sama!,4.25,9
65d0a2b567e0fa134945c935,220,Fairy Tail: Final Season,4.25,8
65d0a2b567e0fa134945c936,221,Scissor Seven 3rd Season,4.25,4
65d0a2b567e0fa134945c937,222,Fairy Tail 2,4.25,8
65d0a2b567e0fa134945c938,223,Hajime no Ippo: Champion Road,4.25,7
65d0a2b567e0fa134945c939,224,Chihayafuru 3,4.25,9
65d0a2b567e0fa134945c93a,225,Haikyuu!! Riku vs Kuu,4.24,6
65d0a2b567e0fa134945c93b,226,Violet Evergarden Special,4.24,4
65d0a2b567e0fa134945c93c,227,Bakuman. 2,4.24,8
65d0a2b567e0fa134945c93d,228,Spice and Wolf II,4.24,15
65d0a2b567e0fa134945c93e,229,Magi: The Kingdom of Magic,4.24,12
65d0a2b567e0fa134945c93f,230,Black Butler: Book of Circus,4.24,14
65d0a2b567e0fa134945c940,231,Gintama: Shinyaku Benizakura-hen Special,4.24,8
65d0a2b567e0fa134945c941,232,Yona of the Dawn,4.24,14
65d0a2b567e0fa134945c942,233,Evangelion: 3.0+1.0 Thrice Upon a Time,4.24,4
65d0a2b567e0fa134945c943,234,Haikyuu!! Movie 2: Shousha to Haisha,4.24,8
65d0a2b567e0fa134945c944,235,School Babysitters Special,4.24,8
65d0a2b567e0fa134945c945,236,Toilet-Bound Hanako-kun,4.24,7
65d0a2b567e0fa134945c946,237,Shelter,4.24,5
65d0a2b567e0fa134945c947,238,Scissor Seven 2nd Season,4.24,6
65d0a2b567e0fa134945c948,239,Non Non Biyori Nonstop,4.24,7
65d0a2b567e0fa134945c949,240,Samurai Champloo,4.24,13
65d0a2b567e0fa134945c94a,241,Run with the Wind,4.24,11
65d0a2b567e0fa134945c94b,242,My Dress-Up Darling,4.24,8
65d0a2b567e0fa134945c94c,243,Grave of the Fireflies,4.23,11
65d0a2b567e0fa134945c94d,244,JoJo's Bizarre Adventure: Phantom Blood,4.23,4
65d0a2b567e0fa134945c94e,245,Tengen Toppa Gurren Lagann: Lagann-hen,4.23,6
65d0a2b567e0fa134945c94f,246,Haikyuu!! Movie 1: Owari to Hajimari,4.23,8
65d0a2b567e0fa134945c950,247,No Game No Life: Zero,4.23,7
65d0a2b567e0fa134945c951,248,Shouwa Genroku Rakugo Shinjuu,4.23,10
65d0a2b567e0fa134945c952,249,Dragon Ball Super Movie: Broly,4.23,8
65d0a2b567e0fa134945c953,250,Detective Conan Movie 20: The Darkest Nightmare,4.23,11
65d0a2b567e0fa134945c954,251,Sasaki and Miyano,4.23,10
65d0a2b567e0fa134945c955,252,Black Lagoon: The Second Barrage,4.23,12
65d0a2b567e0fa134945c956,253,Ace of the Diamond: Second Season,4.23,5
65d0a2b567e0fa134945c957,254,My Teen Romantic Comedy SNAFU Climax,4.23,8
65d0a2b567e0fa134945c958,255,Evangelion: 2.0 You Can (Not) Advance,4.23,8
65d0a2b567e0fa134945c959,256,Major Season 6,4.23,6
65d0a2b567e0fa134945c95a,257,Bungo Stray Dogs Wan!,4.23,8
65d0a2b567e0fa134945c95b,258,Made in Abyss: Hourou Suru Tasogare,4.23,12
65d0a2b567e0fa134945c95c,259,Rascal Does Not Dream of Bunny Girl Senpai,4.23,6
65d0a2b567e0fa134945c95d,260,Kingdom 2,4.23,11
65d0a2b567e0fa134945c95e,261,InuYasha: The Final Act,4.23,8
65d0a2b567e0fa134945c95f,262,Gintama: The Semi-Final,4.23,11
65d0a2b567e0fa134945c960,263,Major Season 3,4.22,5
65d0a2b567e0fa134945c961,264,Bungo Stray Dogs Movie: Dead Apple,4.22,8
65d0a2b567e0fa134945c962,265,Major: World Series,4.22,5
65d0a2b567e0fa134945c963,266,Overlord,4.22,15
